Index,Name,Coverage,Table,Distribution,Mean,Weight
1,PremOps A - 1,PremOps,A - 1,1,955,0.47571
1,PremOps A - 1,PremOps,A - 1,2,4604,0.310642
1,PremOps A - 1,PremOps,A - 1,3,15014,0.138044
1,PremOps A - 1,PremOps,A - 1,4,57612,0.064692
1,PremOps A - 1,PremOps,A - 1,5,210069,0.007535
1,PremOps A - 1,PremOps,A - 1,6,551761,0.002412
1,PremOps A - 1,PremOps,A - 1,7,1330472,0.000677
1,PremOps A - 1,PremOps,A - 1,8,3156845,0.000202
1,PremOps A - 1,PremOps,A - 1,9,7591303,0.000062
1,PremOps A - 1,PremOps,A - 1,10,20735816,0.00002
1,PremOps A - 1,PremOps,A - 1,11,95420839,0.000004
1,PremOps A - 1,PremOps,A - 1,12,100000000,0
2,PremOps A - 2,PremOps,A - 2,1,1145,0.435406
2,PremOps A - 2,PremOps,A - 2,2,4821,0.313825
2,PremOps A - 2,PremOps,A - 2,3,14274,0.12828
2,PremOps A - 2,PremOps,A - 2,4,43731,0.085386
2,PremOps A - 2,PremOps,A - 2,5,157702,0.028069
2,PremOps A - 2,PremOps,A - 2,6,677379,0.007578
2,PremOps A - 2,PremOps,A - 2,7,2318974,0.001135
2,PremOps A - 2,PremOps,A - 2,8,6780287,0.000242
2,PremOps A - 2,PremOps,A - 2,9,20103978,0.000065
2,PremOps A - 2,PremOps,A - 2,10,96205044,0.000014
2,PremOps A - 2,PremOps,A - 2,11,100000000,0
2,PremOps A - 2,PremOps,A - 2,12,100000000,0
3,PremOps A - 3,PremOps,A - 3,1,2865,0.60655
3,PremOps A - 3,PremOps,A - 3,2,15972,0.260547
3,PremOps A - 3,PremOps,A - 3,3,86175,0.096218
3,PremOps A - 3,PremOps,A - 3,4,463211,0.030214
3,PremOps A - 3,PremOps,A - 3,5,1531515,0.004984
3,PremOps A - 3,PremOps,A - 3,6,4352668,0.001088
3,PremOps A - 3,PremOps,A - 3,7,10571321,0.000259
3,PremOps A - 3,PremOps,A - 3,8,23767530,0.000107
3,PremOps A - 3,PremOps,A - 3,9,100000000,0.000033
3,PremOps A - 3,PremOps,A - 3,10,100000000,0
3,PremOps A - 3,PremOps,A - 3,11,100000000,0
3,PremOps A - 3,PremOps,A - 3,12,100000000,0
4,PremOps B - 1,PremOps,B - 1,1,1063,0.422289
4,PremOps B - 1,PremOps,B - 1,2,4257,0.319976
4,PremOps B - 1,PremOps,B - 1,3,13837,0.154563
4,PremOps B - 1,PremOps,B - 1,4,53474,0.074731
4,PremOps B - 1,PremOps,B - 1,5,148682,0.020583
4,PremOps B - 1,PremOps,B - 1,6,489248,0.006307
4,PremOps B - 1,PremOps,B - 1,7,1484406,0.00115
4,PremOps B - 1,PremOps,B - 1,8,3651435,0.000276
4,PremOps B - 1,PremOps,B - 1,9,8436387,0.000088
4,PremOps B - 1,PremOps,B - 1,10,22129718,0.00003
4,PremOps B - 1,PremOps,B - 1,11,100000000,0.000007
4,PremOps B - 1,PremOps,B - 1,12,100000000,0
5,PremOps B - 2,PremOps,B - 2,1,1448,0.348101
5,PremOps B - 2,PremOps,B - 2,2,5015,0.326632
5,PremOps B - 2,PremOps,B - 2,3,15590,0.169985
5,PremOps B - 2,PremOps,B - 2,4,53140,0.092772
5,PremOps B - 2,PremOps,B - 2,5,157042,0.04316
5,PremOps B - 2,PremOps,B - 2,6,611673,0.01669
5,PremOps B - 2,PremOps,B - 2,7,2197334,0.002081
5,PremOps B - 2,PremOps,B - 2,8,6438115,0.000438
5,PremOps B - 2,PremOps,B - 2,9,19207242,0.000116
5,PremOps B - 2,PremOps,B - 2,10,92314754,0.000025
5,PremOps B - 2,PremOps,B - 2,11,100000000,0
5,PremOps B - 2,PremOps,B - 2,12,100000000,0
6,PremOps B - 3,PremOps,B - 3,1,2859,0.460421
6,PremOps B - 3,PremOps,B - 3,2,6391,0.136539
6,PremOps B - 3,PremOps,B - 3,3,19873,0.235818
6,PremOps B - 3,PremOps,B - 3,4,92098,0.114705
6,PremOps B - 3,PremOps,B - 3,5,564615,0.045315
6,PremOps B - 3,PremOps,B - 3,6,2126895,0.00576
6,PremOps B - 3,PremOps,B - 3,7,6599517,0.001102
6,PremOps B - 3,PremOps,B - 3,8,19936910,0.00028
6,PremOps B - 3,PremOps,B - 3,9,95800198,0.00006
6,PremOps B - 3,PremOps,B - 3,10,100000000,0
6,PremOps B - 3,PremOps,B - 3,11,100000000,0
6,PremOps B - 3,PremOps,B - 3,12,100000000,0
7,PremOps C - 1,PremOps,C - 1,1,1182,0.437469
7,PremOps C - 1,PremOps,C - 1,2,6019,0.353032
7,PremOps C - 1,PremOps,C - 1,3,26028,0.140782
7,PremOps C - 1,PremOps,C - 1,4,105489,0.052873
7,PremOps C - 1,PremOps,C - 1,5,334773,0.012
7,PremOps C - 1,PremOps,C - 1,6,859330,0.002972
7,PremOps C - 1,PremOps,C - 1,7,2365352,0.000623
7,PremOps C - 1,PremOps,C - 1,8,5399507,0.000156
7,PremOps C - 1,PremOps,C - 1,9,10194583,0.000055
7,PremOps C - 1,PremOps,C - 1,10,22831814,0.00003
7,PremOps C - 1,PremOps,C - 1,11,100000000,0.000008
7,PremOps C - 1,PremOps,C - 1,12,100000000,0
8,PremOps C - 2,PremOps,C - 2,1,1143,0.410754
8,PremOps C - 2,PremOps,C - 2,2,4511,0.108293
8,PremOps C - 2,PremOps,C - 2,3,7394,0.187749
8,PremOps C - 2,PremOps,C - 2,4,24046,0.15484
8,PremOps C - 2,PremOps,C - 2,5,67598,0.070215
8,PremOps C - 2,PremOps,C - 2,6,185614,0.039986
8,PremOps C - 2,PremOps,C - 2,7,577793,0.021726
